"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\.styleci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\xampp\htdocs\Jaagir\README.md", "Markdown", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 20, 79
"c:\xampp\htdocs\Jaagir\app\Category.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\Jaagir\app\Company.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\xampp\htdocs\Jaagir\app\Console\Kernel.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 18, 7, 42
"c:\xampp\htdocs\Jaagir\app\Exceptions\Handler.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 0, 28, 7, 56
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\ConfirmPasswordController.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\ForgotPasswordController.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\LoginController.php", "PHP", 0, 0, 14, 0, 0, 0, 0, 0, 0, 20, 7, 41
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\RegisterController.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 32, 12, 87
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\ResetPasswordController.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 15, 6, 31
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Auth\VerificationController.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 20, 7, 43
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\CategoryController.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\CompanyController.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 0, 46, 16, 144
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\Controller.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\DashboardController.php", "PHP", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 15, 130
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\EmailController.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 13, 46
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\EmployerRegisterController.php", "PHP", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\FavouriteController.php", "PHP", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\HomeController.php", "PHP", 0, 0, 60, 0, 0, 0, 0, 0, 0, 10, 14, 84
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\JobController.php", "PHP", 0, 0, 229, 0, 0, 0, 0, 0, 0, 38, 37, 304
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\TestimonialController.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 10, 39
"c:\xampp\htdocs\Jaagir\app\Http\Controllers\UserController.php", "PHP", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 10, 91
"c:\xampp\htdocs\Jaagir\app\Http\Kernel.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 0, 20, 7, 70
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\Admin.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 7, 3, 25
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\Authenticate.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 4, 22
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\CheckForMaintenanceMode.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\Employer.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 4, 27
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 0, 8, 5, 28
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\Seeker.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 0, 7, 4, 27
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\TrimStrings.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\Jaagir\app\Http\Middleware\TrustProxies.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 0, 10, 5, 24
